X,Y,fid,name,elev,type,description,fdd,fdc,id_colaborador
-65.81691,-24.263337,"4034",,"3933",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.07037,-26.184934,"4035",,"3952",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.89672,-24.13295,"4036",,"3923",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.90307,-24.25159,"4037",,"3954",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.15411,-22.61152,"4038",Cóndor,"3970",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.39668,-23.578761,"4039",,"3931",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.03307,-22.574587,"4040",León,"3965",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.86844,-22.317863,"4041",,"3992",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.19371,-21.79525,"4042",Branqui,"3983",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.8581,-22.662689,"4043",,"3919",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.07581,-21.834847,"4044",Vaqueros,"3993",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.86663,-22.693393,"4045",,"3976",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.04323,-21.871905,"4046",Grande,"3916",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.72734,-22.210247,"4047",,"3939",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.033,-22.680661,"4048",Tucsura,"3991",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.2753,-22.124659,"4049",Vicuñayoc,"3980",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.87317,-22.325149,"4050",,"3932",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.89271,-22.765642,"4051",Chuntay,"3901",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.80556,-22.385521,"4052",,"3953",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.33693,-22.132608,"4053",Tancani,"3984",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.95775,-22.948389,"4054",Llumpaite,"3931",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.09382,-22.750542,"4055",,"3965",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.72775,-22.186214,"4056",,"3922",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.41598,-23.021172,"4057",,"3906",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.1531,-23.351489,"4058",,"3917",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.78742,-22.336686,"4059",,"3983",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.79159,-22.351094,"4060",,"3987",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.98533,-23.26092,"4061",,"3986",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.06033,-23.148636,"4062",,"3996",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.10557,-23.035577,"4063",,"3971",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.12107,-22.36953,"4064",Redondo,"3967",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.42703,-23.249127,"4065",,"3993",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.04426,-22.208359,"4066",,"3943",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.04856,-22.216645,"4067",,"3902",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.46687,-23.512313,"4068",,"3964",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.71397,-22.949184,"4069",,"3945",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.4435,-23.302705,"4070",,"3936",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.65585,-23.346289,"4071",,"3977",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.71007,-22.911576,"4072",,"3980",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.68041,-22.814558,"4073",,"3907",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.40704,-22.937274,"4074",,"3908",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.39861,-23.563758,"4075",,"3988",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.40685,-23.573205,"4076",,"3911",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.39548,-23.644863,"4077",,"3962",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.59618,-22.7437,"4078",,"3950",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.33378,-28.121282,"4079",Lana,"3923",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.20472,-28.921854,"4080",Mogote de la Minita,"3930",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.67083,-28.974887,"4081",Nuñorco,"3960",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.02464,-28.129857,"4082",,"3947",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.35415,-28.152533,"4083",,"3910",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.82105,-28.63929,"4084",,"3904",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.68881,-28.477943,"4085",,"3929",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.27249,-28.140795,"4086",,"3973",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.81654,-28.387921,"4087",De las Piedras Bolas,"3910",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.90463,-28.23462,"4088",Grande,"3928",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.14917,-28.772133,"4089",El Áspero,"3974",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.75058,-29.14674,"4090",Morado de las Trampas,"3970",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.95909,-29.708162,"4091",Yerba Loca,"3954",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.18076,-31.540618,"4092",Filipango,"3923",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.61345,-30.421764,"4093",Doña Eva,"3995",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.21119,-31.475882,"4094",Casa de Piedra,"3917",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.3299,-29.164457,"4095",,"3921",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.88821,-29.601342,"4096",Imán,"3980",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.95394,-29.657501,"4097",Potrerillos,"3988",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.32162,-29.739311,"4098",Nico,"3949",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.49791,-31.366063,"4099",,"3927",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.51716,-31.415883,"4100",,"3909",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.33794,-32.103432,"4101",De la Quebrada Fría,"3977",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.48081,-31.36699,"4102",,"3905",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.25822,-30.999873,"4103",,"3961",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.28993,-31.518442,"4104",Los Sapos,"3960",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.27647,-30.928336,"4105",,"3970",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.21218,-31.394449,"4106",Falso Tontal,"3988",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.80757,-30.92535,"4107",,"3979",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.76074,-30.978981,"4108",,"3934",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.20035,-31.513136,"4109",Mogote del Potrerillos Sur,"3909",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.27886,-34.854976,"4110",El Moro,"3968",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.72155,-33.823199,"4111",Corrales Negros o Jalinillas,"3953",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.36627,-32.930488,"4112",Morro el Expreso,"3916",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.21081,-34.643375,"4113",,"3918",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.99429,-35.425763,"4114",Morro,"3922",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.39487,-34.157251,"4115",Colorado de la Lagunita,"3922",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.91874,-35.271765,"4116",De los Nucos,"3937",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.32716,-34.97652,"4117",Las Orejas,"3949",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.13362,-34.803919,"4118",Amarillo,"3965",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.07353,-35.45183,"4119",Pucheuque,"3987",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.45235,-32.714908,"4120",Falso Burro o Los Burros,"3992",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.32829,-34.958512,"4121",Punta de los Suizos,"3995",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.08389,-34.992164,"4122",,"3916",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.08488,-34.985172,"4123",,"3960",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.06816,-34.967466,"4124",,"3951",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.8164,-24.158946,"4125",Lorio,"4030",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.204,-25.908168,"4126",Alto La Bella,"4018",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.0798,-24.334622,"4127",,"4073",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-64.95242,-22.464921,"4128",,"4016",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.00991,-23.041089,"4129",,"4048",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.07449,-22.703144,"4130",Aguanita,"4080",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.19223,-22.634131,"4131",,"4030",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-64.99248,-23.109815,"4132",,"4019",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.85146,-24.821642,"4133",,"4046",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.64696,-24.296947,"4134",,"4007",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.18457,-24.606618,"4135",Los Colorados,"4060",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-64.92907,-22.332311,"4136",Colorado,"4075",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.95257,-24.368464,"4137",Pabellón Coronado,"4066",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.69565,-26.141084,"4138",La Hoyada,"4047",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.59913,-24.451539,"4139",,"4024",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.31023,-25.169436,"4140",,"4011",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.97089,-24.851092,"4141",,"4097",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.20137,-24.483579,"4142",,"4023",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.22522,-24.503016,"4143",,"4008",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.66331,-24.331227,"4144",,"4077",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.67831,-24.317888,"4145",,"4000",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.79923,-25.027517,"4146",,"4031",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.64208,-24.358131,"4147",,"4027",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.01502,-24.878838,"4148",,"4006",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.07092,-24.947291,"4149",,"4074",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.88586,-24.619135,"4150",,"4093",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.20069,-25.012498,"4151",,"4087",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.95967,-24.808862,"4152",,"4017",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.75497,-24.615519,"4153",,"4040",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.47684,-26.018084,"4154",,"4035",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.43497,-25.821954,"4155",,"4056",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.37945,-23.54216,"4156",,"4058",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.34164,-24.226221,"4157",,"4057",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.27408,-23.455658,"4158",,"4095",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.48735,-25.752286,"4159",,"4020",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.34984,-23.521719,"4160",,"4083",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.4136,-25.953762,"4161",,"4021",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.01006,-23.941993,"4162",,"4032",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.95198,-24.937788,"4163",Río Blanco,"4000",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.0386,-24.306643,"4164",,"4075",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.91249,-24.223608,"4165",,"4090",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.42008,-22.854146,"4166",Agua Amarilla,"4084",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.49429,-22.781624,"4167",,"4059",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.37249,-22.163587,"4168",Urón,"4005",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.26465,-22.841439,"4169",Palta Paloma,"4026",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.5323,-23.918197,"4170",,"4084",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.97832,-22.642406,"4171",,"4072",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.19502,-21.807398,"4172",Chaupiorco,"4031",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.07247,-23.178651,"4173",,"4041",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.97829,-23.295303,"4174",,"4012",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.81005,-22.440892,"4175",,"4089",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.99415,-23.292419,"4176",,"4078",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.86284,-22.677302,"4177",,"4034",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.85076,-22.359371,"4178",,"4051",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-66.13347,-22.38212,"4179",,"4025",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
